,latitude,longitude,acq_date,acq_time,class,NDVI,EVI
204,38.1351,23.4286,2023-07-18,946,fire,0.6105,0.3609
205,40.9155,25.8442,2023-08-21,1926,fire,0.7501,0.4595
206,36.0723,27.9063,2023-07-26,841,fire,0.8997,0.6841
207,41.1455,26.1362,2023-08-21,1942,not fire,0.6553,0.3868
208,38.1773,23.4661,2023-07-19,849,fire,0.7921,0.5025
209,36.2346,27.9391,2023-08-07,2355,not fire,0.8082,0.5645
210,36.0604,27.9264,2023-08-03,8,not fire,0.8796,0.5741
211,40.981,25.9339,2023-08-31,1926,not fire,0.8812,0.518
212,38.0933,23.4723,2023-08-07,1154,not fire,0.4651,0.2861
213,41.1505,25.5234,2023-08-02,1148,not fire,0.9103,0.5561
214,40.9554,25.9287,2023-08-31,1926,not fire,0.8783,0.5868
215,36.1189,27.9449,2023-07-23,817,fire,0.8316,0.6051
216,39.3711,22.8146,2023-08-15,1235,not fire,0.7777,0.4882
217,38.0479,23.4027,2023-08-08,849,not fire,0.7152,0.5589
218,41.1323,26.1513,2023-08-04,1950,not fire,0.6967,0.4535
219,38.1545,23.4438,2023-07-18,946,fire,0.5559,0.3306
220,38.1328,23.4993,2023-07-07,2009,not fire,0.687,0.4175
221,36.0756,27.9021,2023-07-14,1959,not fire,0.89,0.6301
222,40.9985,25.9723,2023-08-01,1926,not fire,0.89,0.5374
223,37.9601,23.0321,2023-07-17,2009,fire,0.6451,0.4131
224,41.0847,26.1686,2023-08-31,1926,not fire,0.6191,0.3488
225,36.215,27.9839,2023-08-01,2016,not fire,0.9198,0.5727
226,40.9074,25.7737,2023-08-02,1148,not fire,0.6874,0.3939
227,41.1803,25.2816,2023-08-02,902,not fire,0.8766,0.4787
228,41.0785,26.0956,2023-08-12,902,not fire,0.7529,0.5623
229,41.054,24.7263,2023-08-31,1106,not fire,0.8383,0.5217
230,40.8799,25.8239,2023-08-12,43,not fire,0.9107,0.5753
231,36.18,27.9401,2023-07-11,1935,not fire,0.7219,0.4888
232,39.238,22.3205,2023-08-05,1235,not fire,0.8787,0.6826
233,36.0959,27.9111,2023-08-03,1959,not fire,0.8969,0.5745
234,38.0366,24.532,2023-07-23,1207,fire,0.4509,0.2732
235,38.2542,22.8983,2023-08-11,1926,not fire,0.8987,0.497
236,41.0059,25.9101,2023-08-03,1052,not fire,0.8648,0.5651
237,38.2453,22.8913,2023-08-11,822,not fire,0.8291,0.5859
238,39.2346,22.2954,2023-07-26,1235,fire,0.6462,0.4177
239,38.2522,22.8728,2023-08-02,44,not fire,0.7398,0.5219
240,41.1585,25.2433,2023-08-11,1926,not fire,0.8191,0.474
241,41.1605,26.1015,2023-08-19,1958,not fire,0.7395,0.4651
242,36.0509,27.8921,2023-08-04,1152,not fire,0.9033,0.5668
243,39.3519,22.7342,2023-08-16,1139,not fire,0.8107,0.551
244,40.9078,25.6948,2023-08-22,2007,fire,0.3971,0.2381
245,40.9874,26.176,2023-08-04,1133,not fire,0.447,0.3058
246,40.9605,25.709,2023-08-12,2007,not fire,0.5559,0.3039
247,40.9287,25.9582,2023-08-11,1106,not fire,0.8076,0.5032
248,40.9663,26.0791,2023-08-02,902,not fire,0.7631,0.4186
249,41.0779,26.0753,2023-08-11,1926,not fire,0.6049,0.4223
250,36.2326,27.9263,2023-07-09,1058,not fire,0.8691,0.6114
251,38.0285,24.5076,2023-08-13,2000,not fire,0.6851,0.4405
252,36.0959,27.9111,2023-07-14,1959,not fire,0.8974,0.5866
253,38.1545,23.4438,2023-07-28,946,not fire,0.5601,0.3394
254,36.1873,27.9247,2023-07-21,1935,fire,0.6424,0.4126
255,36.2003,28.0302,2023-08-03,1111,not fire,0.828,0.4855
256,36.0556,27.9094,2023-08-03,857,not fire,0.8289,0.5582
257,40.9985,25.9723,2023-08-21,1926,fire,0.8646,0.5069
258,41.1686,25.5191,2023-08-02,1148,not fire,0.9012,0.6363
259,40.9288,25.7944,2023-08-12,1148,not fire,0.6767,0.334
260,40.9982,26.1722,2023-08-23,805,fire,0.5583,0.3087
261,36.0677,27.9165,2023-08-13,1959,not fire,0.8857,0.555
262,36.0545,27.8916,2023-07-05,1902,not fire,0.9078,0.6952
263,40.9198,24.6491,2023-08-20,2023,fire,0.7554,0.4557
264,39.7861,19.8834,2023-08-14,2041,not fire,0.5523,0.3578
265,36.1219,27.9164,2023-08-13,8,not fire,0.8998,0.61
266,36.9615,22.5554,2023-08-09,1140,not fire,0.611,0.3525
267,36.219,27.931,2023-07-29,1058,not fire,0.8823,0.5696
268,41.0158,25.8346,2023-08-23,1910,fire,0.6378,0.4126
269,41.1777,25.5462,2023-08-12,902,not fire,0.8377,0.5496
270,41.0025,26.1451,2023-08-13,805,not fire,0.7133,0.3498
271,40.9955,26.0064,2023-08-11,1926,not fire,0.8624,0.4785
272,41.0602,26.0435,2023-08-11,1926,not fire,0.8738,0.4636
273,39.2346,22.2954,2023-08-05,1235,not fire,0.5203,0.2754
274,40.8683,25.7779,2023-08-02,43,not fire,0.8602,0.4775
