latitude,longitude,acq_date,acq_time,class,NDVI,EVI
37.4425,-8.7096,2023-08-17,1425,not fire,-0.3,-0.3
39.7474,-7.7808,2023-08-15,1303,not fire,-0.3,-0.3
37.4368,-8.7391,2023-08-16,1344,not fire,-0.3,-0.3
39.7793,-7.7823,2023-08-25,1035,not fire,-0.3,-0.3
39.775,-7.7783,2023-08-14,2236,not fire,-0.3,-0.3
37.4735,-8.72,2023-08-17,1425,not fire,-0.3,-0.3
37.4248,-8.6696,2023-08-16,2219,not fire,-0.3,-0.3
37.4735,-8.72,2023-08-27,1425,not fire,-0.3,-0.3
39.7229,-7.813,2023-08-15,1035,not fire,-0.3,-0.3
37.4395,-8.7243,2023-08-26,1344,not fire,-0.3,-0.3
39.7406,-7.7659,2023-08-15,336,not fire,-0.3,-0.3
39.7186,-7.8198,2023-08-15,1303,not fire,-0.3,-0.3
37.454,-8.7113,2023-08-27,1425,not fire,-0.3,-0.3
37.3134,-8.528,2023-08-28,1420,fire,-0.3,-0.3
40.5117,-7.8302,2023-08-13,1409,not fire,0.5066,0.299
39.7508,-7.7437,2023-08-16,240,not fire,-0.3,-0.3
39.7243,-8.5432,2023-08-23,2226,fire,-0.3,-0.3
39.7585,-7.7468,2023-08-15,2139,not fire,-0.3,-0.3
41.8647,-7.9314,2023-02-13,1354,not fire,0.5632,0.2466
37.3913,-8.7708,2023-08-17,2259,not fire,-0.3,-0.3
40.1227,-7.416,2023-08-15,1106,not fire,0.504,0.3053
41.3915,-8.6577,2023-08-08,225,fire,0.7101,0.37
40.9737,-7.9931,2023-02-23,1354,not fire,0.5775,0.2819
41.7418,-6.9176,2023-02-07,1113,fire,0.5541,0.2352
41.2042,-7.9098,2023-08-12,222,not fire,0.7919,0.3947
37.4743,-8.7035,2023-08-27,2300,not fire,-0.3,-0.3
41.6727,-8.353,2023-02-17,1359,fire,0.6515,0.3633
37.4387,-8.7159,2023-08-17,1019,not fire,-0.3,-0.3
